Team a,Team b,year,A status,B status
DR Congo,Ivory Coast,1992,False,True
Ivory Coast,DR Congo,1992,True,False
Morocco,DR Congo,1992,True,False
DR Congo,Morocco,1992,False,True
Cameroon,DR Congo,1992,True,False
DR Congo,Cameroon,1992,False,True
Nigeria,DR Congo,1992,True,False
DR Congo,Nigeria,1992,False,True
Saint Vincent and the Grenadines,Curacao,1992,True,False
Curacao,Saint Vincent and the Grenadines,1992,False,True
Dominica,Guadeloupe,1992,False,False
Guadeloupe,Dominica,1992,False,False
Barbados,Curacao,1992,True,False
Curacao,Barbados,1992,False,True
Grenada,Curacao,1992,True,False
Curacao,Grenada,1992,False,True
Cayman Islands,Martinique,1992,False,False
Martinique,Cayman Islands,1992,False,False
Saint Kitts and Nevis,British Virgin Islands,1992,False,False
British Virgin Islands,Saint Kitts and Nevis,1992,False,False
Antigua and Barbuda,British Virgin Islands,1992,True,False
British Virgin Islands,Antigua and Barbuda,1992,False,True
Curacao,Antigua and Barbuda,1992,False,True
Antigua and Barbuda,Curacao,1992,True,False
Antigua and Barbuda,Curacao,1992,True,False
Curacao,Antigua and Barbuda,1992,False,True
French Guiana,Guyana,1992,False,True
Guyana,French Guiana,1992,True,False
Aruba,French Guiana,1992,False,False
French Guiana,Aruba,1992,False,False
Congo,Guadeloupe,1992,True,False
Guadeloupe,Congo,1992,False,True
Suriname,French Guiana,1992,True,False
French Guiana,Suriname,1992,False,True
Moldova,Lithuania,1992,False,True
Lithuania,Moldova,1992,True,False
Kazakhstan,Turkmenistan,1992,False,False
Turkmenistan,Kazakhstan,1992,False,False
North Korea,Taiwan,1992,True,False
Taiwan,North Korea,1992,False,True
Macau,Hong Kong,1992,False,True
Hong Kong,Macau,1992,True,False
Hong Kong,Taiwan,1992,True,False
Taiwan,Hong Kong,1992,False,True
North Korea,Macau,1992,True,False
Macau,North Korea,1992,False,True
Guatemala,Nicaragua,1992,True,False
Nicaragua,Guatemala,1992,False,True
Macau,Taiwan,1992,False,False
Taiwan,Macau,1992,False,False
Guinea-Bissau,Cape Verde,1992,True,False
Cape Verde,Guinea-Bissau,1992,False,True
Tajikistan,Uzbekistan,1992,False,False
Uzbekistan,Tajikistan,1992,False,False
Guadeloupe,Jamaica,1992,False,True
Jamaica,Guadeloupe,1992,True,False
Antigua and Barbuda,Martinique,1992,True,False
Martinique,Antigua and Barbuda,1992,False,True
Jamaica,Martinique,1992,True,False
Martinique,Jamaica,1992,False,True
Cuba,Martinique,1992,True,False
Martinique,Cuba,1992,False,True
Vanuatu,New Zealand,1992,False,True
New Zealand,Vanuatu,1992,True,False
Cape Verde,Guinea-Bissau,1992,False,True
Guinea-Bissau,Cape Verde,1992,True,False
China PR,Slovakia,1992,True,False
Slovakia,China PR,1992,False,True
Uzbekistan,Turkmenistan,1992,False,False
Turkmenistan,Uzbekistan,1992,False,False
Sudan,Chad,1992,True,False
Chad,Sudan,1992,False,True
New Zealand,Vanuatu,1992,True,False
Vanuatu,New Zealand,1992,False,True
Kazakhstan,Libya,1992,False,True
Libya,Kazakhstan,1992,True,False
Guinea-Bissau,Cape Verde,1992,True,False
Cape Verde,Guinea-Bissau,1992,False,True
Turkmenistan,Tajikistan,1992,False,False
Tajikistan,Turkmenistan,1992,False,False
New Caledonia,Tahiti,1992,False,True
Tahiti,New Caledonia,1992,True,False
Kazakhstan,Uzbekistan,1992,False,False
Uzbekistan,Kazakhstan,1992,False,False
Nicaragua,El Salvador,1992,False,True
El Salvador,Nicaragua,1992,True,False
Vanuatu,Tahiti,1992,False,True
Tahiti,Vanuatu,1992,True,False
New Caledonia,Tahiti,1992,False,True
Tahiti,New Caledonia,1992,True,False
El Salvador,Nicaragua,1992,True,False
Nicaragua,El Salvador,1992,False,True
Vanuatu,New Caledonia,1992,False,False
New Caledonia,Vanuatu,1992,False,False
Vanuatu,Solomon Islands,1992,False,True
Solomon Islands,Vanuatu,1992,True,False
Fiji,New Caledonia,1992,True,False
New Caledonia,Fiji,1992,False,True
New Caledonia,Solomon Islands,1992,False,True
Solomon Islands,New Caledonia,1992,True,False
Vanuatu,Fiji,1992,False,True
Fiji,Vanuatu,1992,True,False
Lesotho,Namibia,1992,True,False
Namibia,Lesotho,1992,False,True
Lesotho,Namibia,1992,True,False
Namibia,Lesotho,1992,False,True
DR Congo,Mozambique,1992,False,True
Mozambique,DR Congo,1992,True,False
Moldova,Pakistan,1992,False,True
Pakistan,Moldova,1992,True,False
Moldova,Sudan,1992,False,True
Sudan,Moldova,1992,True,False
Jordan,Moldova,1992,True,False
Moldova,Jordan,1992,False,True
